X,Y,id,
956777.80939155421,1953548.3794118643,1
956779.72304705519,1953542.946762237,1
956214.89026016323,1954370.32428393,2
956219.15480358026,1954371.9964731061,2
956808.81640839018,1954257.5364874734,3
956803.92011339148,1954256.7617687706,3
956803.92011339148,1954256.7617687706,4
956803.53484804044,1954256.6848426431,4
956803.53484804044,1954256.6848426431,5
956795.75451257825,1954255.1357223713,5
957150.21429123404,1953765.9914676866,6
957151.3527696979,1953767.9011031457,6
957151.3527696979,1953767.9011031457,7
957155.7356945849,1953775.7291333787,7
957155.7356945849,1953775.7291333787,8
957163.98255439405,1953784.4144936954,8
957163.98255439405,1953784.4144936954,9
957167.22906718787,1953790.2054392698,9
957167.22906718787,1953790.2054392698,10
957168.92134583532,1953795.1306196866,10
957168.92134583532,1953795.1306196866,11
957168.91623458476,1953801.442243045,11
957168.91623458476,1953801.442243045,12
957165.33469842386,1953805.6930268235,12
957165.33469842386,1953805.6930268235,13
957159.93659948569,1953810.5619243027,13
957159.93659948569,1953810.5619243027,14
957154.89145650098,1953817.5330542282,14
957154.89145650098,1953817.5330542282,15
957151.17401968816,1953825.1809535003,15
957151.17401968816,1953825.1809535003,16
957148.64304549375,1953830.4981744741,16
957148.64304549375,1953830.4981744741,17
957146.92005378962,1953834.117937878,17
957146.92005378962,1953834.117937878,18
957144.43167674087,1953839.5241376264,18
957144.43167674087,1953839.5241376264,19
957143.23195837974,1953842.1305373888,19
957143.23195837974,1953842.1305373888,20
957142.57350120239,1953844.8240315677,20
956704.86968261295,1954390.6499081689,21
956703.23628484283,1954390.8375101993,21
956703.23628484283,1954390.8375101993,22
956701.23124775768,1954391.0670696835,22
956701.23124775768,1954391.0670696835,23
956694.39079514751,1954390.5035946697,23
956694.39079514751,1954390.5035946697,24
956693.2844674146,1954390.3645197665,24
956693.2844674146,1954390.3645197665,25
956683.36751241121,1954389.1146326277,25
956683.36751241121,1954389.1146326277,26
956679.1662605512,1954388.585133523,26
956679.1662605512,1954388.585133523,27
956679.03585781425,1954386.6165565639,27
956679.03585781425,1954386.6165565639,28
956679.64739164687,1954382.9926551396,28
956679.64739164687,1954382.9926551396,29
956679.66578991408,1954382.8805990575,29
956679.66578991408,1954382.8805990575,30
956680.20850588172,1954379.6629121997,30
956680.20850588172,1954379.6629121997,31
956680.34990514966,1954378.0527592027,31
956680.34990514966,1954378.0527592027,32
956681.3166533371,1954377.5078290489,32
956681.3166533371,1954377.5078290489,33
956681.98442935594,1954373.5567504982,33
956681.98442935594,1954373.5567504982,34
956683.41011682898,1954365.121312846,34
956683.41011682898,1954365.121312846,35
956683.44645495492,1954363.6806547046,35
956683.44645495492,1954363.6806547046,36
956683.45469505363,1954363.3497337992,36
